"","Name","cluster"
"590","2-Hydroxybutyrate",0.88752
"591","2-Hydroxybutyrate",1.64207
"592","2-Hydroxybutyrate",1.64207
"593","2-Hydroxybutyrate",1.64207
"594","2-Hydroxybutyrate",1.64207
"595","2-Hydroxybutyrate",1.64207
"596","2-Hydroxybutyrate",1.64207
"597","2-Hydroxybutyrate",1.64207
"598","2-Hydroxybutyrate",1.64207
"599","2-Hydroxybutyrate",1.64207
"600","2-Hydroxybutyrate",1.64207
"601","2-Hydroxybutyrate",1.64207
"602","2-Hydroxybutyrate",1.64207
"603","2-Hydroxybutyrate",1.64207
"604","2-Hydroxybutyrate",1.64207
"605","2-Hydroxybutyrate",1.64207
"606","2-Hydroxybutyrate",1.64207
"607","2-Hydroxybutyrate",1.72922
"608","2-Hydroxybutyrate",1.72922
"609","2-Hydroxybutyrate",1.72922
"610","2-Hydroxybutyrate",1.72922
"611","2-Hydroxybutyrate",1.72922
"612","2-Hydroxybutyrate",1.72922
"613","2-Hydroxybutyrate",1.72922
"614","2-Hydroxybutyrate",1.72922
"615","2-Hydroxybutyrate",1.72922
"616","2-Hydroxybutyrate",1.72922
"617","2-Hydroxybutyrate",1.72922
"618","2-Hydroxybutyrate",1.72922
"619","2-Hydroxybutyrate",1.72922
"620","2-Hydroxybutyrate",1.72922
"621","2-Hydroxybutyrate",1.72922
"622","2-Hydroxybutyrate",1.72922
"623","2-Hydroxybutyrate",3.99356
"624","2-Hydroxybutyrate",3.99356
"625","2-Hydroxybutyrate",3.99356
"626","2-Hydroxybutyrate",3.99356
"627","2-Hydroxyglutarate",1.82767
"628","2-Hydroxyglutarate",1.82767
"629","2-Hydroxyglutarate",1.82767
"630","2-Hydroxyglutarate",1.82767
"631","2-Hydroxyglutarate",1.82767
"632","2-Hydroxyglutarate",1.82767
"633","2-Hydroxyglutarate",1.82767
"634","2-Hydroxyglutarate",1.82767
"635","2-Hydroxyglutarate",1.82767
"636","2-Hydroxyglutarate",1.82767
"637","2-Hydroxyglutarate",1.82767
"638","2-Hydroxyglutarate",1.82767
"639","2-Hydroxyglutarate",1.82767
"640","2-Hydroxyglutarate",1.82767
"641","2-Hydroxyglutarate",1.82767
"642","2-Hydroxyglutarate",1.9839
"643","2-Hydroxyglutarate",1.9839
"644","2-Hydroxyglutarate",1.9839
"645","2-Hydroxyglutarate",1.9839
"646","2-Hydroxyglutarate",1.9839
"647","2-Hydroxyglutarate",1.9839
"648","2-Hydroxyglutarate",1.9839
"649","2-Hydroxyglutarate",1.9839
"650","2-Hydroxyglutarate",1.9839
"651","2-Hydroxyglutarate",1.9839
"652","2-Hydroxyglutarate",1.9839
"653","2-Hydroxyglutarate",1.9839
"654","2-Hydroxyglutarate",1.9839
"655","2-Hydroxyglutarate",1.9839
"656","2-Hydroxyglutarate",1.9839
"657","2-Hydroxyglutarate",1.9839
"658","2-Hydroxyglutarate",2.22311
"659","2-Hydroxyglutarate",2.22311
"660","2-Hydroxyglutarate",2.22311
"661","2-Hydroxyglutarate",2.22311
"662","2-Hydroxyglutarate",2.22311
"663","2-Hydroxyglutarate",2.22311
"664","2-Hydroxyglutarate",2.22311
"665","2-Hydroxyglutarate",2.22311
"666","2-Hydroxyglutarate",2.27588
"667","2-Hydroxyglutarate",2.27588
"668","2-Hydroxyglutarate",2.27588
"669","2-Hydroxyglutarate",2.27588
"670","2-Hydroxyglutarate",2.27588
"671","2-Hydroxyglutarate",2.27588
"672","2-Hydroxyglutarate",2.27588
"673","2-Hydroxyglutarate",2.27588
"674","2-Hydroxyglutarate",4.01796
"675","2-Hydroxyglutarate",4.01796
"676","2-Hydroxyglutarate",4.01796
"677","2-Hydroxyglutarate",4.01796
"678","2-Hydroxyisobutyrate",1.34568
"679","2-Hydroxyisocaproate",0.91104
"680","2-Hydroxyisocaproate",0.91104
"681","2-Hydroxyisocaproate",0.9152
"682","2-Hydroxyisocaproate",0.9152
"683","2-Hydroxyisocaproate",1.4931
"684","2-Hydroxyisocaproate",1.4931
"685","2-Hydroxyisocaproate",1.4931
"686","2-Hydroxyisocaproate",1.4931
"687","2-Hydroxyisocaproate",1.4931
"688","2-Hydroxyisocaproate",1.4931
"689","2-Hydroxyisocaproate",1.4931
"690","2-Hydroxyisocaproate",1.4931
"691","2-Hydroxyisocaproate",1.5197
"692","2-Hydroxyisocaproate",1.5197
"693","2-Hydroxyisocaproate",1.5197
"694","2-Hydroxyisocaproate",1.5197
"695","2-Hydroxyisocaproate",1.5197
"696","2-Hydroxyisocaproate",1.5197
